id,name_ru,name_en,segment,priceMin,priceMax,leadTime,description_ru,description_en,photo
humanoid,Гуманоиды,Humanoid robots,robots,,,4-7 недель,,,
quadruped,Робособаки,Quadruped robots,robots,,,4-7 недель,,,
agv,AGV и складские роботы,AGV and warehouse robots,robots,,,4-7 недель,,,
cobots,Коллаборативные роботы,Collaborative robots,robots,,,4-7 недель,,,
industrial,Промышленные роботы,Industrial robots,robots,,,4-7 недель,,,
welding,Сварочные роботы,Welding robots,robots,,,4-7 недель,,,
delta,Дельта-роботы,Delta robots,robots,,,4-7 недель,,,
manipulators,Манипуляторы,Manipulators,robots,,,4-7 недель,,,
robotarms,Роборуки и захваты,Robotic arms and grippers,robots,,,4-7 недель,,,
service,Сервисные роботы,Service robots,robots,,,4-7 недель,,,
cleaning,Роботы-уборщики,Cleaning robots,robots,,,4-7 недель,,,
courier,Роботы-курьеры,Courier robots,robots,,,4-7 недель,,,
medical,Медицинские роботы,Medical robots,robots,,,4-7 недель,,,
education,Образовательные роботы,Educational robots,robots,,,4-7 недель,,,
inspection,Инспекционные роботы,Inspection robots,robots,,,4-7 недель,,,
construction,Строительные роботы,Construction robots,robots,,,4-7 недель,,,
meat,Оборудование для мясопереработки,Meat processing equipment,production,,,8-16 недель,,,
vegetables,Оборудование для овощепереработки,Vegetable processing equipment,production,,,8-16 недель,,,
rice,Линии риса и круп,Rice and grain lines,production,,,8-16 недель,,,
thermal,Тепловое оборудование,Thermal equipment,production,,,8-16 недель,,,
washing,Мойка и санобработка,Washing and sanitation,production,,,8-16 недель,,,
packaging,Фасовка и упаковка,Filling and packaging,production,,,8-16 недель,,,
palletizing,Паллетирование,Palletizing,production,,,8-16 недель,,,
sorting,Сортировка и инспекция,Sorting and inspection,production,,,8-16 недель,,,
centralkitchen,Центральные кухни,Central kitchen systems,production,,,8-16 недель,,,
roboticskitchen,Роботизированные кухни,Robotic kitchens,production,,,8-16 недель,,,
smartchef,Умный повар,Smart chef,production,,,8-16 недель,,,
