id,name,nameZh,country,city,founded,segments,categories,industries,description_ru,models,leadTime,featured,published
evst,EVST,以物思,Китай,"Чэнду, Вэньлин",2018,robots,"industrial,welding,cobots,delta,palletizing","manufacturing,metalwork,food,packaging,electronics,oilgas","Производитель промышленных роботов и автоматизированных комплексов. Нагрузка от 3 до 800 кг. Первая компания в Китае, сертифицировавшая взрывозащищённые промышленные манипуляторы, также выпускает влагозащищённые исполнения. Экспорт более чем в 100 стран, часть продукции с сертификатом CE. Комплектующие Nabtesco, Shimpo, Tamagawa. Эксклюзивный дистрибьютор роботов QJAR на международном рынке. Дополнительно предоставляет инженеров на проекты и обучение персонала.","EVS CS14V10, портальная сварочная станция, девятиосевая консольная станция, семиосевая рельсовая станция, дельта Zhi Hua, дельта Zhi Kong, дельта Zhi Sheng, SCARA, коботы, 4-осевые, 6-осевые, паллетайзеры",4-7 недель,да,да
huayan,Huayan Robotics,广东华沿机器人,Китай,Гуандун,,robots,"cobots,robotarms,components","manufacturing,electronics,medical,metalwork,education,retail","Публичная компания, разместившаяся на Гонконгской бирже в марте 2026 года под тикером 1021.HK. Работает под двумя брендами: Huayan внутри Китая и HansRobot на экспорт. В июле 2026 запустила сертификацию CR по всей линейке. Партнёр Huawei Cloud в направлении воплощённого интеллекта, сотрудничает с Keyence по машинному зрению. Применение: загрузка станков, ЧПУ, сварка, паллетирование, окраска, закручивание винтов.","Elfin, Elfin-Pro, Elfin-Ex, Elfin-Li, S-Li, серия S, Echo, HY, шарнирные модули",4-7 недель,да,да
estun,Estun,埃斯顿自动化,Китай,Нанкин,,robots,"industrial,welding,cobots,manipulators","manufacturing,metalwork,automotive,electronics","Крупнейший китайский производитель промышленных роботов. Собственные сервоприводы и системы ЧПУ — вертикальная интеграция даёт ценовое преимущество перед японскими и европейскими аналогами при сопоставимом ресурсе. Нагрузка от 3 до 700 кг. Сильны в сварке, паллетировании и обслуживании станков.","серия ER, паллетайзеры, сварочные комплексы",4-7 недель,да,да
efort,Efort,埃夫特智能装备,Китай,Уху,,robots,"industrial,welding,painting","automotive,manufacturing,metalwork","Публичная компания, выросшая из автомобильной промышленности. Сильна в готовых технологических ячейках, а не только в поставке манипуляторов: окраска, сварка, обработка поверхности. Владеет европейскими интеграторскими активами, что отражается на инженерной культуре.","серия ER, окрасочные роботы, сварочные комплексы",4-7 недель,нет,да
step,STEP,新时达,Китай,Шанхай,,robots,"industrial,welding,manipulators","manufacturing,electronics,metalwork","Производитель промышленных роботов и приводной техники, исторически связанный с лифтовой автоматикой. Делает собственные контроллеры и сервосистемы. Применение: сварка, загрузка станков, сборка, перемещение заготовок.","серия SR, серия SD",4-7 недель,нет,да
jaka,JAKA,节卡机器人,Китай,Шанхай,,robots,"cobots,manipulators","manufacturing,electronics,pharma,medical,education","Один из ведущих мировых производителей коллаборативных роботов. Нагрузка от 3 до 30 кг. Безопасная работа рядом с оператором без ограждений, обучение перемещением руки, беспроводная настройка. Сильны в быстрой переналадке под мелкосерийное производство и в чистых помещениях.","Zu 3, Zu 7, Zu 12, Zu 18, серия Pro, MiniCobo, C5",4-7 недель,да,да
dobot,Dobot,越疆科技,Китай,Шэньчжэнь,,robots,"cobots,desktop,education","manufacturing,education,labs,electronics",Широкая линейка от настольных учебных манипуляторов до промышленных коботов на 20 кг. Крупный игрок в образовательном сегменте: Magician стоит в тысячах школ и вузов. Сильны в доступной цене входа и простоте программирования.,"серия CR, серия Nova, MG400, M1 Pro, Magician, Atom",4-7 недель,да,да
kunrobot,KunRobot,昆傲机器人,Китай,Чэнду,,robots,"special,inspection","inspection,shipbuilding,oilgas","Производитель специализированных роботов с магнитным сцеплением для перемещения по вертикальным металлическим поверхностям. Применение — инспекция и обслуживание резервуаров, корпусов судов, металлоконструкций и промышленных ёмкостей, где работа человека требует лесов или промышленного альпинизма.",магнитные роботы-верхолазы,4-7 недель,нет,да
geekplus,Geek+,极智嘉,Китай,Пекин,,robots,"agv,warehouse","warehouse,logistics,retail,manufacturing,pharma","Мировой лидер по числу внедрённых складских роботов. Полный спектр: подвоз стеллажей к оператору, роботы-комплектовщики, сортировка посылок, транспортировка паллет. Сильны в программной платформе и интеграции с WMS, реализуют проекты под ключ на тысячи единиц техники.","серия P, серия RS, серия S, серия M, сортировочные роботы",4-7 недель,да,да
seer,Seer Robotics,仙工智能,Китай,Шанхай,,robots,"agv,controllers","manufacturing,warehouse,electronics,automotive","Продаёт не только готовые машины, но и мозги для них — контроллеры и навигационное ПО, на которых другие производители строят свои AGV. Сильны в гибкой интеграции и управлении смешанным парком техники разных марок.","контроллеры SRC, платформы AMB, система RDS",4-7 недель,нет,да
senad,SENAD,,Китай,Шанхай,,robots,"sorting,palletizing,loading","logistics,ecommerce,food,warehouse","Компания с ядром в машинном зрении: глубокое обучение, обработка изображений, распознавание образов. Специализация — интеллектуальная логистика и склады. Роботы разгрузки работают с контейнерами, фургонами и тележками, обрабатывают коробки и мешки без переоборудования площадки. Депаллетайзеры справляются с многономенклатурными неупорядоченными поддонами. Интеграция с WMS, BMS, OMS. Среди клиентов DHL, EMS, Lazada, JD.","системы сортировки посылок, DWS, 3D-камеры измерения объёма, сингуляторы, паллетайзеры, депаллетайзеры, роботы погрузки и разгрузки",4-7 недель,нет,да
pudu,Pudu Robotics,普渡科技,Китай,Шэньчжэнь,,robots,"service,cleaning,courier","horeca,retail,mall,medical","Мировой лидер в доставке блюд в зале ресторана. Линейка расширена до промышленной уборки и доставки в бизнес-центрах и клиниках. Простая пусконаладка, работа в узких проходах, интеграция с лифтами. Сильны в массовости, сервисной сети и стоимости владения.","BellaBot, KettyBot, PuduBot, FlashBot, CC1, SH1",4-7 недель,да,да
orionstar,Orion Star,猎户星空,Китай,Пекин,,robots,"service,promo","retail,mall,museum,banking","Сервисные роботы с сильной голосовой и диалоговой частью — компания выросла из ИИ-разработки. Применение: приём посетителей, навигация в здании, консультирование, автоматизированные кофе-точки.","серия Leopard, кофе-робот",4-7 недель,нет,да
deeprobotics,Deep Robotics,云深处科技,Китай,Ханчжоу,,robots,"quadruped,inspection","energy,oilgas,security,construction,metro","Промышленный фокус: инспекция подстанций, тоннелей, трубопроводов. Защита корпуса и работа в широком температурном диапазоне, автономные зарядные станции, тепловизоры и газоанализаторы в составе полезной нагрузки. Сильны в задачах, где робот заменяет обходчика на опасном объекте.","X20, X30, Lite3, Jueying Lite",4-7 недель,да,да
matrixrobotics,Matrix Robotics,上海矩阵超智,Китай,Шанхай,2024,robots,humanoid,"manufacturing,research","Компания основана в апреле 2024 года Чжан Хайсином — бывшим руководителем китайского дизайн-центра Tesla, участвовавшим в разработке Optimus. Флагман MATRIX-3: рост 170 см, вес 65 кг, трёхмерная тканая биомиметическая кожа со встроенными тактильными сенсорами, пятипалые кисти на 27 степеней свободы с тросовым приводом, скорость до 3,9 км/ч. Работает на собственной модели WAVE с обобщением без дообучения. Шанхайский завод рассчитан на 10 000 единиц в год.","MATRIX-1, MATRIX-3",4-7 недель,да,да
droidup,DroidUp,上海卓益得机器人,Китай,Шанхай,2021,robots,humanoid,"care,education,manufacturing,events","Разрабатывает полностью биомиметических роботов на тросово-сухожильном приводе. Ключевое отличие — облегчённая конструкция: полноразмерный корпус весит около 30 кг, что снимает ограничение по плотности энергии батарей. Робот Xingzhe-2 занял третье место на первом в мире полумарафоне гуманоидов в апреле 2025 года. Moya — робот с силиконовой кожей, температурой тела 32–36 °C и микромимикой.","Xingzhe-1, Xingzhe-2, Moya, Xueba 01",4-7 недель,да,да
robotera,Robotera,星动纪元,Китай,Пекин,2023,robots,"humanoid,robotarms","manufacturing,logistics,retail,research","Создана на базе Института междисциплинарных информационных наук Университета Цинхуа — единственный производитель гуманоидов, в котором у Цинхуа есть доля. Собственная модель управления ERA-42, объединяющая зрение, проприоцепцию и язык. Флагман L7: рост 171 см, 55 степеней свободы, скорость до 4 м/с, кисти с 12 степенями свободы и нагрузкой до 20 кг.","STAR1, L7, M7, XHAND1",4-7 недель,да,да
agibot,AgiBot,智元机器人,Китай,Шанхай,,robots,"humanoid,cobots","manufacturing,logistics,service","Один из самых быстрорастущих разработчиков воплощённого ИИ в Китае. Линейка от полноразмерных гуманоидов до колёсных платформ и открытых исследовательских версий. Сильны в серийном производстве: одними из первых перешли от прототипов к поточному выпуску. Применение — сборка, транспортировка компонентов, обслуживание клиентов.","Yuanzheng A2, Lingxi X1, Genie",4-7 недель,да,да
ubtech,UBTech,优必选,Китай,Шэньчжэнь,,robots,"humanoid,service,education","manufacturing,retail,education,service","Публичная компания, один из старейших игроков на рынке человекоподобных роботов. Walker S внедряется на автомобильные заводы для контроля качества и сортировки. Cruzr — сервисный робот для торговых залов и бизнес-центров. Отдельное направление — образовательные наборы. Сильны в масштабе, сервисной сети и промышленных пилотах.","Walker S, Cruzr, Yanshee, Alpha",4-7 недель,да,да
fourier,Fourier,傅利叶智能,Китай,Шанхай,,robots,"humanoid,medical","medical,rehabilitation,research",Компания выросла из реабилитационной робототехники и сохраняет сильную медицинскую компетенцию — экзоскелеты и тренажёры для восстановления после инсульта. Гуманоиды GR-1 и GR-2 позиционируются для медицинского ухода и исследований. Сильны в биомеханике и приводах для взаимодействия с человеком.,"GR-1, GR-2, ExoMotus",4-7 недель,да,да
zerith,Zerith,零次方机器人,Китай,,,robots,humanoid,"manufacturing,service","Разработчик человекоподобных роботов, ориентированный на массовое применение. Две линейки: полноразмерные двуногие платформы серии Z и колёсные роботы с манипуляторами серии H, которые проще внедряются в реальные сценарии.","серия Z, серия H",4-7 недель,нет,да
daxrobotics,DAX Robotics,大咖机器人,Китай,,,robots,"humanoid,mobile","retail,logistics,pharma","Производитель человекоподобных и мобильных роботов с прикладным уклоном: сортировка медикаментов, сортировка посылок, внутризаводская логистика, обслуживание в рознице. Отдельная образовательная версия X7 EDU для вузов и учебных центров.","X7 Pro, X7 EDU, Puppy",4-7 недель,нет,да
qio,QIO Robotics,启物科技,Китай,Пекин,2024,robots,humanoid,"manufacturing,agriculture,vending","Специализируется на мозге для воплощённого интеллекта: собственный фреймворк вывода и энергоэффективная система инференса на устройстве. Команда из выпускников Цинхуа, Пекинского университета и Академии наук КНР, а также специалистов Huawei, Microsoft и Baidu. Робот O1 демонстрировался как автономная торговая точка.",O1,4-7 недель,нет,да
robbyant,Robbyant,蚂蚁灵波科技,Китай,,,robots,"humanoid,service","service,household","Подразделение воплощённого интеллекта группы Ant Group, создающее универсальный мозг для всех роботов. Разрабатывает полный стек — от пространственного восприятия и моделей действия до обратной связи от среды. Помимо собственного гуманоида R2 лицензирует отраслевые коммерческие модели сторонним производителям.","R2, LingBot, LingBot-Vision",4-7 недель,нет,да
kepler,Kepler,开普勒机器人,Китай,Шанхай,,robots,humanoid,"manufacturing,logistics","Разработчик полноразмерных гуманоидов с фокусом на промышленное применение и низкую себестоимость. Ставка на собственные планетарные приводы и снижение цены единицы. Применение — перемещение грузов, сортировка, работа в опасных зонах.",K2 Forerunner,4-7 недель,да,да
leju,Leju Robotics,乐聚机器人,Китай,"Шэньчжэнь, Харбин",2016,robots,"humanoid,education","education,manufacturing,research","Один из первых китайских производителей двуногих роботов. Разработала собственные моментные сервоприводы и алгоритмы самостабилизирующейся двуногой походки. Kuavo — полноразмерная платформа для промышленных и исследовательских задач, Aelos и Roban — компактные модели для школ и вузов.","Kuavo, Aelos, Roban",4-7 недель,да,да
limx,LimX Dynamics,逐际动力,Китай,Шэньчжэнь,,robots,"humanoid,quadruped","research,inspection,manufacturing","Специализируется на двуногих и четвероногих платформах с упором на динамическое равновесие и передвижение по сложному рельефу. TRON1 — модульная платформа со сменными типами ног. Сильны в алгоритмах управления походкой, активно поставляют исследовательским лабораториям.","CL-1, TRON1, P1",4-7 недель,да,да
engineai,EngineAI,众擎机器人,Китай,Шэньчжэнь,,robots,humanoid,"research,events,manufacturing","Молодая компания, получившая известность благодаря высокой динамике движений. Ориентирована на доступную цену входа и открытость для разработчиков. Рассматривает применение в охране объектов и работе экскурсоводом в музеях, а также в шоу-программах.","PM01, SE01, T800",4-7 недель,да,да
xhumanoid,X-Humanoid,北京人形机器人创新中心,Китай,Пекин,,robots,humanoid,"research,manufacturing","Национальный инновационный центр робототехники, а не обычный завод. Разрабатывает открытую платформу Tiangong и общую программную базу для отрасли. Сильны в исследованиях и стандартизации, работают в связке с университетами и промышленными партнёрами.",Tiangong,4-7 недель,нет,да
pndbotics,PNDbotics,松延动力,Китай,Пекин,,robots,humanoid,"research,education,events",Производитель полноразмерных и компактных двуногих платформ. Adam известен по демонстрациям на международных выставках. Ставка на доступную цену и открытую архитектуру для исследовательских задач.,"Adam, N2, Bumblebee",4-7 недель,нет,да
galbot,Galbot,银河通用,Китай,Пекин,,robots,"humanoid,service","retail,pharmacy,logistics","Колёсная человекоподобная платформа с двумя манипуляторами, созданная для розницы. Работает в автоматизированных магазинах и аптеках: находит товар на полке, берёт и выдаёт покупателю. Сильны в обучении манипуляции на синтетических данных.",Galbot G1,4-7 недель,да,да
whalesbot,WhalesBot,鲸鱼机器人,Китай,Шанхай,,robots,education,education,"Производитель образовательных робототехнических наборов для детей от дошкольного возраста до старших классов. Сильны в методической части: конструкторы поставляются с учебными программами. Подходят для школ, кванториумов и центров дополнительного образования.","серия AI Module, серия Mini, серия Ultimate",4-7 недель,нет,да
linkerbot,LinkerBot,灵心巧手,Китай,Пекин,,robots,"robotarms,components","research,manufacturing,prosthetics",Специализируется на антропоморфных кистях с высоким числом степеней свободы и тактильными сенсорами. Поставляет компоненты другим производителям гуманоидов и исследовательским центрам. Сильны в мелкой моторике и сенсорике захвата.,"Linker Hand O, Linker Hand L, Linker Hand T",4-7 недель,нет,да
yanc,YANC,燕诚智能,Китай,"Ланфан, Хэбэй",1983,production,"meat,vegetables,rice,thermal,washing","meat,vegetables,readymeals,catering,airline","История предприятия ведётся от Пекинского завода овощного пищевого машиностроения, основанного в 1983 году как государственное. Более 2000 реализованных проектов центральных кухонь, свыше 200 типов оборудования, более 30 лет разработок, свыше 60 патентов и отраслевых стандартов. Полный цикл изготовления внутри компании. Проекты: бортовое питание China Southern Airlines.","YC-ZB40, YC-XR340-Z, TW-RD400, TW-500D, TW-260, YC-ZC9000, порционеры риса, линии риса, фритюрницы, варочные котлы, посудомоечные машины",8-16 недель,да,да
xiangying,Xiangying,浙江翔鹰中央厨房设备,Китай,Нинбо,,production,"centralkitchen,rice,thermal,washing,readymeals","readymeals,catering,vegetables","Производитель оборудования для централизованных кухонь с 31-летней историей. Технологии заимствованы у японской и европейской школ и адаптированы под китайскую кухню. Пятнадцать продуктовых серий, около 2000 типоразмеров. Работает под ключ: проектирование, изготовление линии, монтаж, пусконаладка. Заказчики: Zhen Kungfu, Xibei, Университет Чжэцзяна, Alibaba, Sanquan, Synear.","линии риса, линия 600, вок-машины, робот-повар R3, фасовщики риса, опрокидные котлы, пароварочные камеры, фритюрницы, линии варки лапши, посудомоечные комплексы, овощемойки",8-16 недель,да,да
xixiang,Xixiang,熙香科技,Китай,,,production,"roboticskitchen,smartchef,vending","catering,horeca,retail","Поставщик решений для умного общепита: автоматизированное приготовление в связке с традиционной китайской кухней и собственной платформой аналитики. Продукты закрывают формат безлюдной столовой и автономных точек питания. Профиль — не отдельные машины, а готовые сценарии обслуживания.","умные столовые, автоматы снеков, роботизированные лапшичные, роботы-бариста",8-16 недель,нет,да
bzl,Bright Dream Robotics,博智林,Китай,Фошань,2018,robots,construction,"construction,manufacturing","Дочерняя компания Country Garden, основана в июле 2018 года в районе Шуньдэ (Фошань). Разрабатывает и производит строительных роботов, интеллектуальное оборудование для стройплощадки и продукты индустриального домостроения. По данным компании: около 50 моделей строительных роботов в разработке, более 30 прошли испытания на реальных объектах, 18 в коммерческой эксплуатации. На октябрь 2021 года подано 3281 патентных заявок, получен 1431 патент. В декабре 2021 года принята система многомашинного строительства BIM+FMS+WMS с автоматическим распределением задач между роботами.","строительные роботы, оборудование для индустриального домостроения, система многомашинного управления BIM+FMS+WMS",4-7 недель,нет,да
borunte,Borunte Robot,伯朗特,Китай,Дунгуань,2008,robots,"industrial,cobots,delta,manipulators,palletizing","manufacturing,metalwork,electronics,packaging,automotive","Производитель промышленных роботов и роботов для литья под давлением, основан в 2008 году в Дунгуане, провинция Гуандун. Уставный капитал 225 млн юаней. С января 2014 года котируется на площадке New Third Board; дочерняя компания Shenzhen Huacheng Industrial Control допущена к торгам в декабре 2020 года. Линейка охватывает универсальные, штамповочные, паллетирующие, горизонтальные (SCARA), коллаборативные и параллельные роботы. Применения: упаковка, литьё под давлением, загрузка и выгрузка, сборка, металлообработка, электроника, перемещение, штамповка, шлифовка, сварка, станки, паллетирование, окраска, гибка.","шестиосевые роботы, четырёхосевые паллетайзеры, SCARA, коллаборативные роботы, параллельные (дельта) роботы, штамповочные роботы, роботы для термопластавтоматов",4-7 недель,нет,да
fangshi,Fangshi Robotics,方石科技,Китай,"Сучжоу, Пекин",2019,robots,construction,construction,"Компания основана в 2019 году, статус национального высокотехнологичного предприятия. Специализируется на серийных строительных роботах и одной из первых в Китае вывела их в коммерческую эксплуатацию и на внешние рынки. Флагманская тройка собственной разработки: лазерный робот выравнивания пола на четырёх колёсах, гусеничный затирочный робот и четырёхдисковый затирочный робот. Также выпускает роботов для бетонных полов, обмера зданий и внутренней отделки. Присутствие более чем в 80 городах, свыше 100 строительных компаний-заказчиков, среди них China State Construction, China Railway Construction, Shanghai Construction Group. Более 500 реализованных проектов, включая аэропорт Гуанчжоу Байюнь. Модель работы: продажа или аренда роботов вместе с услугами по производству работ. Роботы компании применялись на инфраструктурном проекте в Сингапуре.","лазерный робот выравнивания пола, гусеничный затирочный робот, четырёхдисковый затирочный робот, роботы для бетонных полов, роботы обмера зданий, роботы внутренней отделки",4-7 недель,нет,да
