id,factoryId,name_ru,name_en,description_ru,description_en,photo,order,published
matrixrobotics-3,matrixrobotics,MATRIX-3,MATRIX-3,"Рост 170 см, вес 65 кг. Трёхмерная тканая биомиметическая кожа со встроенными тактильными сенсорами, пятипалые кисти на 27 степеней свободы с тросовым приводом, скорость до 3,9 км/ч. Управляется собственной моделью WAVE с обобщением без дообучения.","Height 170 cm, weight 65 kg. 3D-woven biomimetic skin with built-in tactile sensors, five-fingered hands with 27 degrees of freedom on a cable drive, top speed 3.9 km/h. Runs on the company's own WAVE model with zero-shot generalization.",,1,да
robotera-l7,robotera,L7,L7,"Рост 171 см, 55 степеней свободы, скорость до 4 м/с. Кисти с 12 степенями свободы и грузоподъёмностью до 20 кг. Управляется собственной моделью ERA-42, объединяющей зрение, проприоцепцию и язык.","Height 171 cm, 55 degrees of freedom, top speed up to 4 m/s. Hands with 12 degrees of freedom and payload up to 20 kg. Runs on the company's own ERA-42 model combining vision, proprioception and language.",,1,да
droidup-xingzhe2,droidup,Xingzhe-2,Xingzhe-2,"Полноразмерный биомиметический робот на тросово-сухожильном приводе, корпус весит около 30 кг. Занял третье место на первом в мире полумарафоне гуманоидов (апрель 2025).","A full-size biomimetic robot on a cable-tendon drive, body weight around 30 kg. Took third place at the world's first humanoid half-marathon (April 2025).",,1,да
droidup-moya,droidup,Moya,Moya,"Биомиметический робот с силиконовой кожей, температурой тела 32–36 °C и микромимикой лица.","A biomimetic robot with silicone skin, a body temperature of 32–36 °C and facial micro-expressions.",,2,да
brainco-hand,brainco,BrainRobotics (бионическая кисть),BrainRobotics bionic hand,"Бионическая кисть, управляемая сочетанием нейросигналов и электромиографии. Вошла в список лучших изобретений по версии Time (2019), получила разрешение FDA. Выпускается серийно.","A bionic hand controlled by a combination of neural signals and electromyography. Named one of Time's best inventions (2019) and FDA-cleared. In serial production.",,1,да
evst-1,evst,EVS CS14V10,EVS CS14V10,"Мобильный сварочный робот на гусеничном ходу серии EVS-C: мощность станции 36,5 кВА, скорость передвижения по треку до 1 км/ч — для сварки крупногабаритных металлоконструкций.","A track-mounted mobile welding robot from the EVS-C series: 36.5 kVA station power, travel speed up to 1 km/h — built for welding large steel structures.",,1,да
evst-2,evst,Портальная сварочная станция,Gantry welding station,Робот перемещается по надземной портальной раме — расширенная рабочая зона при сварке крупных и длинных изделий.,"The robot travels along an overhead gantry frame — an extended work envelope for welding large, elongated parts.",,2,да
evst-3,evst,Девятиосевая консольная станция,Nine-axis cantilever station,К шести осям робота добавлены три внешние оси (поворотный стол и линейное перемещение) — деталь обваривается со всех сторон без переустановки.,Three external axes (turntable plus linear travel) are added to the robot's six — a part is welded from every side without re-fixturing.,,3,да
evst-4,evst,Семиосевая рельсовая станция,Seven-axis rail station,Робот на линейном рельсовом модуле обслуживает несколько рабочих позиций подряд вдоль линии.,The robot rides a linear rail module to serve several fixtures in sequence along the line.,,4,да
evst-5,evst,Дельта Zhi Hua,Delta Zhi Hua,Параллельный (дельта) робот линии Zhi Hua — высокоскоростной отбор и упаковка лёгких изделий на конвейере.,A parallel (delta) robot from the Zhi Hua line — high-speed picking and packing of light items off a conveyor.,,5,да
evst-6,evst,Дельта Zhi Kong,Delta Zhi Kong,Параллельный (дельта) робот линии Zhi Kong со встроенным машинным зрением — сортировка и укладка деталей по координатам.,A parallel (delta) robot from the Zhi Kong line with built-in machine vision — sorting and placing parts by coordinates.,,6,да
evst-7,evst,Дельта Zhi Sheng,Delta Zhi Sheng,Старшая модель линейки дельта-роботов Zhi — увеличенная рабочая зона для более крупных и тяжёлых изделий.,"The senior model in the Zhi delta-robot line — a larger work envelope for bigger, heavier items.",,7,да
evst-8,evst,SCARA,SCARA,"Четырёхосевая рука с горизонтальной шарнирной кинематикой — быстрая сборка, завинчивание и укладка мелких деталей.","A four-axis horizontally-articulated arm — fast assembly, screwdriving and placement of small parts.",,8,да
evst-9,evst,Коботы,Cobots,"Коллаборативные роботы — работают рядом с человеком без ограждения: сборка, контроль качества, лёгкая упаковка.","Collaborative robots — work alongside people without a safety cage: assembly, quality checks, light packaging.",,9,да
evst-10,evst,4-осевые роботы,4-axis robots,"Четырёхосевые промышленные роботы — палетирование и перемещение деталей там, где не нужна полная ориентация схвата.",Four-axis industrial robots — palletizing and moving parts where full end-effector orientation isn't required.,,10,да
evst-11,evst,6-осевые роботы,6-axis robots,"Шестиосевые промышленные роботы — полная свобода ориентации схвата: сварка, окраска, сложная сборка.","Six-axis industrial robots — full end-effector orientation freedom: welding, painting, complex assembly.",,11,да
evst-12,evst,Паллетайзеры,Palletizers,Роботы для укладки коробок и мешков на паллеты по заданному шаблону.,Robots that stack boxes and bags onto pallets to a set pattern.,,12,да
huayan-1,huayan,Elfin,Elfin,"Коллаборативный робот с модульным двойным шарниром в каждом звене — сборка, отбор, сварка, шлифовка, окраска; поставлен более чем в 100 стран.","A collaborative robot with a modular double-joint design per link — assembly, pick-and-place, welding, grinding and spraying; exported to over 100 countries.",,1,да
huayan-2,huayan,Elfin-Pro,Elfin-Pro,"Версия Elfin с интегрированным силомоментным управлением и машинным зрением на фланце: визуальное позиционирование, классификация объектов, считывание QR-кодов.","An Elfin variant with integrated force control and end-of-arm vision: visual positioning, object classification, QR-code reading.",,2,да
huayan-3,huayan,Elfin-Ex,Elfin-Ex,"Взрывозащищённая версия Elfin с классом защиты IP66 — для нефтехимии, окраски и других опасных производств.","An explosion-proof Elfin variant, IP66-rated — for petrochemical, painting and other hazardous environments.",,3,да
huayan-4,huayan,Elfin-Li,Elfin-Li,Облегчённая модификация Elfin на той же модульной двухшарнирной платформе.,A lightweight modification of Elfin on the same modular double-joint platform.,,4,да
huayan-5,huayan,S-Li,S-Li,Компактная модель серии S с упрощённой комплектацией для типовых задач захвата и перемещения.,"A compact model in the S series, a simplified configuration for standard pick-and-place tasks.",,5,да
huayan-6,huayan,Серия S,S series,Базовая линейка коллаборативных роботов для типовых задач сборки и перемещения деталей.,The entry-level collaborative robot line for standard assembly and part-handling tasks.,,6,да
huayan-7,huayan,Echo,Echo,"Семиосевая антропоморфная рука Echo с соосно-крестовым запястьем: грузоподъёмность 3–5 кг, силомоментное управление, точность повторяемости ±0,03 мм — для сборки электроники и автокомпонентов.","The Echo seven-axis humanoid arm with a co-planar cross wrist: 3–5 kg rated load, full-joint force control, ±0.03 mm repeatability — for 3C and automotive-component assembly.",,7,да
huayan-8,huayan,HY,HY,"Семиосевая антропоморфная рука HY с пространственно-крестовым запястьем: та же платформа, что и Echo, грузоподъёмность 3,5–7 кг.","The HY seven-axis humanoid arm with a spatial cross wrist: same platform as Echo, 3.5–7 kg rated load.",,8,да
huayan-9,huayan,Шарнирные модули,Joint modules,"Отдельные шарнирные модули завода — компонентная поставка для интеграторов, которые строят собственную кинематику на базе привода Huayan.",Standalone joint modules — a component-level supply for integrators building their own kinematics on Huayan's actuator.,,9,да
estun-1,estun,Серия ER,ER series,"Линейка шестиосевых промышленных роботов: от компактных моделей на 7–8 кг до тяжёлых на 270 кг при вылете до 2,85 м — сварка, обслуживание станков, перемещение грузов.","A six-axis industrial robot line: from compact 7–8 kg models to heavy-duty 270 kg units with up to 2.85 m reach — welding, machine tending, material handling.",,1,да
estun-2,estun,Паллетайзеры,Palletizers,Роботы для укладки коробок и мешков на паллеты на базе платформы ER.,"Robots for stacking boxes and bags onto pallets, built on the ER platform.",,2,да
estun-3,estun,Сварочные комплексы,Welding cells,Готовые сварочные ячейки на базе роботов ER с позиционером и источником сварочного тока.,Turnkey welding cells built around ER robots with a positioner and welding power source.,,3,да
efort-1,efort,Серия ER,ER series,"Шестиосевые промышленные роботы: от 20 кг при вылете 1,7 м до 35 кг при вылете 1,8 м — сварка, обслуживание станков, дозирование, сборка.","Six-axis industrial robots: from 20 kg at 1.7 m reach to 35 kg at 1.8 m reach — welding, machine tending, dispensing, assembly.",,1,да
efort-2,efort,Окрасочные роботы,Painting robots,Роботы для автоматического нанесения покрытия с равномерным расходом материала.,Robots for automated coating application with even material coverage.,,2,да
efort-3,efort,Сварочные комплексы,Welding cells,Комплекс из робота-манипулятора 10–12 кг на кисти с источником сварочного тока и позиционером.,A welding cell built around a 10–12 kg wrist-payload manipulator with a welding power source and positioner.,,3,да
step-1,step,Серия SR,SR series,"Шестиосевые роботы компактной конструкции с прецизионными редукторами: модель SR175/2700 несёт до 175 кг при вылете 2,7 м, точность повторяемости ±0,06 мм.","Compact six-axis robots with high-precision reducers: the SR175/2700 model carries up to 175 kg at a 2.7 m reach, ±0.06 mm repeatability.",,1,да
step-2,step,Серия SD,SD series,Компактные лёгкие роботы для сортировки и сборки: модель SD7/700 сочетает высокую скорость и точность позиционирования.,Compact lightweight robots for sorting and assembly: the SD7/700 model combines high speed and positioning accuracy.,,2,да
jaka-1,jaka,Zu 3,Zu 3,"Коллаборативный робот грузоподъёмностью 3 кг, вылет 626 мм.","A collaborative robot with 3 kg payload, 626 mm reach.",,1,да
jaka-2,jaka,Zu 7,Zu 7,"Коллаборативный робот грузоподъёмностью 7 кг, вылет 819 мм.","A collaborative robot with 7 kg payload, 819 mm reach.",,2,да
jaka-3,jaka,Zu 12,Zu 12,"Коллаборативный робот грузоподъёмностью 12 кг, вылет 1327 мм.","A collaborative robot with 12 kg payload, 1327 mm reach.",,3,да
jaka-4,jaka,Zu 18,Zu 18,"Коллаборативный робот грузоподъёмностью 18 кг, вылет 1073 мм.","A collaborative robot with 18 kg payload, 1073 mm reach.",,4,да
jaka-5,jaka,Серия Pro,Pro series,Промышленная модификация линейки Zu с усиленной защитой для более жёстких условий цеха.,An industrial-grade modification of the Zu line with reinforced protection for harsher shop-floor conditions.,,5,да
jaka-6,jaka,MiniCobo,MiniCobo,"Самый компактный кобот линейки: грузоподъёмность около 1 кг, вылет около 580 мм — для настольной сборки и лабораторных задач.","The smallest cobot in the line: about 1 kg payload, roughly 580 mm reach — for benchtop assembly and lab tasks.",,6,да
jaka-7,jaka,C5,C5,"Коллаборативный робот линейки C, ориентированный на пищевую и лёгкую промышленность.","A collaborative robot in the C line, aimed at food and light-industry applications.",,7,да
dobot-1,dobot,Серия CR,CR series,"Коллаборативные роботы среднего и тяжёлого класса для сборки, дозирования и обслуживания станков.","Mid- and heavy-duty collaborative robots for assembly, dispensing and machine tending.",,1,да
dobot-2,dobot,Серия Nova,Nova series,Новое поколение коботов Dobot с усиленным силомоментным управлением и более быстрым программированием.,Dobot's newer cobot generation with enhanced force control and faster programming.,,2,да
dobot-3,dobot,MG400,MG400,"Настольный 4-осевой кобот: масса 8 кг, вылет 440 мм, грузоподъёмность до 750 г, повторяемость ±0,05 мм.","A desktop 4-axis cobot: 8 kg mass, 440 mm reach, up to 750 g payload, ±0.05 mm repeatability.",,3,да
dobot-4,dobot,M1 Pro,M1 Pro,SCARA-робот второго поколения со встроенной детекцией столкновений и динамическими алгоритмами для высокоскоростных операций.,A second-generation SCARA robot with built-in collision detection and dynamic algorithms for high-speed operation.,,4,да
dobot-5,dobot,Magician,Magician,Настольный робот-манипулятор для обучения робототехнике и прототипирования.,A desktop robotic arm for robotics education and prototyping.,,5,да
dobot-6,dobot,Atom,Atom,Компактный образовательный робот-манипулятор линейки Dobot.,A compact educational robotic arm in the Dobot line.,,6,да
kunrobot-1,kunrobot,Магнитные роботы-верхолазы,Magnetic climbing robots,"Роботы с магнитным сцеплением для перемещения по вертикальным металлическим поверхностям — инспекция резервуаров, корпусов судов и металлоконструкций без лесов и промышленных альпинистов.","Robots with magnetic adhesion that move along vertical steel surfaces — inspecting tanks, ship hulls and steel structures without scaffolding or rope-access crews.",,1,да
geekplus-1,geekplus,Серия P,P series,"Роботы-стеллажи «товар к человеку»: грузоподъёмность до 1200 кг, скорость до 4,5 м/с — сокращают ручной труд на 50–70%.","Shelf-to-person picking robots: up to 1200 kg load capacity, up to 4.5 m/s speed — cut manual labor by 50–70%.",,1,да
geekplus-2,geekplus,Серия RS,RS series,"Роботы-шаттлы «короб к человеку» для стеллажей высотой 5, 8 и 11 м, грузоподъёмность до 40 кг.","Tote-to-person shuttle robots for 5, 8 and 11 m racking, up to 40 kg payload.",,2,да
geekplus-3,geekplus,Серия S,S series,"Роботы сортировки: грузоподъёмность до 100 кг, скорость до 2 м/с — многократно быстрее ручной сортировки.","Sorting robots: up to 100 kg payload, up to 2 m/s speed — many times faster than manual sorting.",,3,да
geekplus-4,geekplus,Серия M,M series,"Роботы для перемещения грузов внутри склада: грузоподъёмность до 1000–1200 кг, лазерная SLAM- и QR-навигация.","Intralogistics moving robots: 1000–1200 kg load capacity, laser SLAM and QR-code navigation.",,4,да
geekplus-5,geekplus,Сортировочные роботы,Sorting robots,Мобильные роботы для автоматической сортировки посылок и коробов по направлениям.,Mobile robots for automatically sorting parcels and boxes by destination.,,5,да
seer-1,seer,Контроллеры SRC,SRC controllers,"Универсальные контроллеры для мобильных роботов и погрузчиков: построение карты, локализация и навигация; версия SRC-3000FS сертифицирована по PL d и SIL 2.","Universal controllers for mobile robots and forklifts: mapping, localization and navigation; the SRC-3000FS variant is PL d / SIL 2 certified.",,1,да
seer-2,seer,Платформы AMB,AMB platforms,"Несущие шасси для автономного транспорта: грузоподъёмность от 400 кг, интеграция с контроллером SRC.","Undercarriage chassis platforms for autonomous transport: from 400 kg load capacity, integrated with the SRC controller.",,2,да
seer-3,seer,Система RDS,RDS system,Система управления флотом роботов: единое диспетчирование задач между десятками мобильных роботов и погрузчиков на складе.,A fleet management system: unified task dispatching across dozens of mobile robots and forklifts on a warehouse floor.,,3,да
senad-1,senad,Системы сортировки посылок,Parcel sorting systems,Линии сортировки посылок на базе машинного зрения для логистических операторов.,Vision-based parcel sorting lines for logistics operators.,,1,да
senad-2,senad,DWS,DWS,"Комплекс измерения размеров, веса и сканирования (dimensioning-weighing-scanning) для потока посылок.",A dimensioning-weighing-scanning (DWS) unit for parcel flow.,,2,да
senad-3,senad,3D-камеры измерения объёма,3D volumetric cameras,3D-камеры для измерения объёма грузов на конвейере без остановки потока.,3D cameras that measure cargo volume on a moving conveyor without stopping the flow.,,3,да
senad-4,senad,Сингуляторы,Singulators,Устройства разделения плотного потока коробок и мешков на одиночные единицы перед сортировкой или взвешиванием.,Devices that split a dense stream of boxes and bags into single units before sorting or weighing.,,4,да
senad-5,senad,Паллетайзеры,Palletizers,Роботы для укладки коробок на паллеты по заданному шаблону.,Robots for stacking boxes onto pallets to a set pattern.,,5,да
senad-6,senad,Депаллетайзеры,Depalletizers,Роботы для разбора многономенклатурных неупорядоченных паллет на базе машинного зрения.,"Vision-guided robots for breaking down mixed, unsorted pallets.",,6,да
senad-7,senad,Роботы погрузки и разгрузки,Loading/unloading robots,"Роботы для автоматической загрузки и разгрузки контейнеров, фургонов и тележек без переоборудования площадки.","Robots for automatically loading and unloading containers, vans and carts with no site retrofit required.",,7,да
pudu-1,pudu,BellaBot,BellaBot,Робот-официант с бионическим дизайном и двойным SLAM-позиционированием для доставки блюд по залу.,A bionic-styled server robot with dual-SLAM positioning for carrying dishes across a dining floor.,,1,да
pudu-2,pudu,KettyBot,KettyBot,Робот приветствия и доставки с цифровым рекламным экраном для ресторанов и общественных пространств.,A greeting-and-delivery robot with a digital ad display for restaurants and public spaces.,,2,да
pudu-3,pudu,PuduBot,PuduBot,Универсальный робот доставки для ресторанов и гостиниц.,A general-purpose delivery robot for restaurants and hotels.,,3,да
